cc_name,true_high_share,mean_proba,n_obs,n_years
SANTIAGO CANYON,1.0,0.9888009532721256,6,6
LOS ANGELES CITY,1.0,0.9835286246106002,6,6
IRVINE VALLEY,1.0,0.9832874712468714,6,6
NORCO,1.0,0.9812999093989805,6,6
GLENDALE,1.0,0.9746617768584699,6,6
GOLDEN WEST,0.8333333333333334,0.9730113592535704,6,6
COPPER MOUNTAIN,1.0,0.9719511672116037,2,2
SADDLEBACK,1.0,0.9718862128412415,6,6
GROSSMONT,1.0,0.9703142321530424,6,6
LOS ANGELES VALLEY,1.0,0.967480818751139,6,6
WEST LOS ANGELES,1.0,0.9671003749271502,6,6
REDWOODS,0.5,0.9616621562089266,2,2
CANYONS,1.0,0.9591268689007055,6,6
SANTA ANA,0.8333333333333334,0.9590934155449538,6,6
CONTRA COSTA,1.0,0.9571207939094656,6,6
CERRO COSO,0.5,0.9556928617264945,2,2
MIRACOSTA,1.0,0.9548703031267518,6,6
FULLERTON,1.0,0.9538901234881795,6,6
RIVERSIDE CITY,1.0,0.9512267796660137,6,6
MOORPARK,1.0,0.9511188913162583,6,6
SAN DIEGO CITY,1.0,0.9511137997407609,6,6
SAN DIEGO MIRAMAR,1.0,0.9509614001776904,6,6
OXNARD,0.6666666666666666,0.9509440374798558,6,6
VICTOR VALLEY,1.0,0.9508155843889493,6,6
LOS ANGELES MISSION,0.6666666666666666,0.9505285324009217,3,3
LAKE TAHOE,0.3333333333333333,0.9496547665135792,3,3
COASTLINE,0.6,0.9493904000877622,5,5
LOS ANGELES TRADE TECHNICAL,1.0,0.9488476753017007,6,6
RIO HONDO,1.0,0.9452531166855715,5,5
LOS ANGELES PIERCE,1.0,0.9450071987466914,6,6
IMPERIAL VALLEY,1.0,0.9437234761900699,6,6
LONG BEACH CITY,0.8333333333333334,0.9407435481357864,6,6
MONTEREY PENINSULA,0.8333333333333334,0.9395405355443724,6,6
CUYAMACA,0.8333333333333334,0.9379339446127154,6,6
CHAFFEY,1.0,0.9375106889173109,6,6
BARSTOW,1.0,0.9369893817289516,4,4
EAST LOS ANGELES,1.0,0.9348565053417687,6,6
MENDOCINO,0.75,0.9315964088353093,4,4
LOS ANGELES SOUTHWEST,0.5,0.9299516935523189,4,4
CITRUS,1.0,0.929470483946785,6,6
COMPTON,0.75,0.9288876941241233,4,4
CRAFTON HILLS,0.8333333333333334,0.9276078048475457,6,6
TAFT,0.6666666666666666,0.9264397746704481,3,3
CERRITOS,0.8333333333333334,0.9262124805118316,6,6
SOUTHWESTERN,0.5,0.924750082729534,6,6
FOOTHILL,1.0,0.9242799369440644,6,6
BUTTE,0.6666666666666666,0.9227016335580588,6,6
MOUNT SAN ANTONIO,1.0,0.9191919576317936,6,6
LOS ANGELES HARBOR,1.0,0.9186259200135058,6,6
PALOMAR,0.75,0.9183105804672133,4,4
SAN BERNARDINO VALLEY,0.8333333333333334,0.9114033553004705,6,6
SAN DIEGO MESA,1.0,0.909717900311565,6,6
LANEY,1.0,0.9093990390861205,6,6
DESERT,0.8333333333333334,0.9061118875450741,6,6
SKYLINE,0.8333333333333334,0.905871787914832,6,6
MISSION,0.8333333333333334,0.9036071214835723,6,6
SIERRA,0.8333333333333334,0.9035203355589903,6,6
WOODLAND,0.6666666666666666,0.8979648319599601,6,6
BERKELEY CITY,1.0,0.8968157318321915,6,6
SOLANO,0.8,0.8934708668342684,5,5
MORENO VALLEY,1.0,0.8930978647909078,6,6
SAN MATEO,1.0,0.8914516516483443,6,6
SANTA BARBARA CITY,1.0,0.8902604673401213,6,6
CYPRESS,0.8333333333333334,0.8892944566903576,6,6
MERRITT,0.6666666666666666,0.8828350727453366,6,6
ORANGE COAST,1.0,0.8797109133377559,6,6
YUBA,0.8333333333333334,0.8722226229166089,6,6
CHABOT,1.0,0.8690549110086424,6,6
FOLSOM LAKE,0.6666666666666666,0.8661090628494666,6,6
SANTA MONICA,1.0,0.8620351352624338,6,6
ALLAN HANCOCK,0.8333333333333334,0.8618195437558973,6,6
NAPA VALLEY,1.0,0.8501265145635526,6,6
MOUNT SAN JACINTO,0.8333333333333334,0.8471095646949763,6,6
CABRILLO,1.0,0.8459343911045797,6,6
MARIN,0.8,0.8435091078321394,5,5
SANTA ROSA JUNIOR,1.0,0.8410211084798084,6,6
ALAMEDA,1.0,0.8330843500255071,6,6
VENTURA,0.6666666666666666,0.8307118030381457,6,6
CITY OF SAN FRANCISCO,1.0,0.8286395293082173,6,6
CUESTA,0.8333333333333334,0.819064026343891,6,6
EL CAMINO,1.0,0.8176182384833188,6,6
WEST VALLEY,0.6666666666666666,0.8159576219557184,6,6
SAN JOSE CITY,0.25,0.8092032630202113,4,4
PASADENA CITY,1.0,0.8077946346803873,6,6
REEDLEY,0.5,0.7964448176204637,4,4
COLUMBIA,0.5,0.7869086821399611,4,4
GAVILAN,0.8333333333333334,0.7728742942055881,6,6
DIABLO VALLEY,1.0,0.7669171268207317,6,6
SACRAMENTO CITY,0.6666666666666666,0.75201598448503,6,6
ANTELOPE VALLEY,0.5,0.7513720606309295,6,6
MADERA,0.0,0.7466962404007753,3,3
OHLONE,1.0,0.7434285440811755,6,6
EVERGREEN VALLEY,0.6666666666666666,0.7410083128180097,6,6
SHASTA,0.2,0.7391634447436973,5,5
WEST HILLS COALINGA,0.0,0.738559817822654,4,4
WEST HILLS LEMOORE,0.2,0.7319586398919999,5,5
LAS POSITAS,0.6666666666666666,0.7266645797172724,6,6
AMERICAN RIVER,0.6666666666666666,0.7252113736964789,6,6
COSUMNES RIVER,0.5,0.6964216545690604,6,6
HARTNELL,0.8333333333333334,0.6758155829101787,6,6
DE ANZA,1.0,0.6548223692608213,6,6
PORTERVILLE,0.2,0.6418436130892418,5,5
BAKERSFIELD,0.5,0.6199996060634158,6,6
CANADA,0.3333333333333333,0.599566385743182,6,6
CLOVIS,0.3333333333333333,0.5760534594937202,3,3
LOS MEDANOS,0.6666666666666666,0.515671376199525,6,6
FRESNO CITY,0.16666666666666666,0.4652792159961899,6,6
SEQUOIAS,0.5,0.41854519611517443,6,6
SAN JOAQUIN DELTA,0.0,0.312057468891288,6,6
MODESTO JUNIOR,0.0,0.2058612639163038,6,6
MERCED,0.0,0.12366170533405507,6,6
